exponent,recursive time,iterative time
1,7400,210300
6,6200,5500
11,249200,381700
16,12500,102500
21,15000,11400
26,15000,10800
31,110100,26200
36,27200,21000
41,22300,14500
46,29500,19800
51,30100,23700
56,34300,23700
61,77200,26300
66,54800,62100
71,53000,27200
76,50400,28200
81,58200,29400
86,61400,30900
91,62200,33700
96,62000,32800
101,66500,36000
106,68400,38900
111,86600,50500
116,92200,52600
121,106700,49700
126,109100,73200
131,98900,61900
136,73400,64700
141,42500,23400
146,46600,22500
151,81100,23200
156,116500,61400
161,367800,71900
166,100000,51900
171,81600,136200
176,40300,23100
181,43700,21700
186,40900,22400
191,45200,22900
196,54900,23400
201,44700,24100
206,87500,24500
211,59300,31900
216,172900,79700
221,164600,95600
226,103800,64900
231,65000,35000
236,66400,35400
241,67900,35800
246,69100,37200
251,71100,37600
256,72600,39200
261,74900,39900
266,75200,40700
271,77300,41000
276,78800,42200
281,80100,42600
286,82600,44000
291,83400,44400
296,84300,45700
301,149500,45800
306,257800,164400
311,267400,172000
316,268700,179400
321,276800,182400
326,285400,190400
331,293600,191700
336,290200,195100
341,295900,196100
346,303700,197600
351,277100,199100
356,262000,164400
361,267700,163200
366,224200,159800
371,209400,159500
376,237300,135200
381,141600,93000
386,90000,47800
391,91000,47900
396,91700,48500
401,93700,49300
406,95200,50000
411,211300,119200
416,99400,53500
421,98100,51800
426,137700,52700
431,105800,71300
436,101600,55000
441,102200,54500
446,103100,55200
451,105000,55300
456,106000,56400
461,175300,56400
466,354800,170000
471,379200,201100
476,301700,296400
481,357300,212400
486,505700,816100
491,437500,481400
496,352200,184000
501,323500,207500
506,204300,138100
511,199700,53600
516,277600,198600
521,273300,161400
526,405500,188400
531,572700,190500
536,304100,177300
541,275200,182500
546,215500,171400
551,125000,58000
556,110200,57200
561,109300,57300
566,110300,58000
571,110700,58400
576,111900,59400
581,117600,59600
586,113700,60200
591,176200,66100
596,133200,63000
601,119000,62000
606,116000,62800
611,119000,62600
616,117600,63200
621,121500,63600
626,122500,86400
631,217600,64600
636,411500,169300
641,396700,246500
646,557300,265300
651,432400,256700
656,400700,252800
661,363100,274700
666,381400,191700
671,205400,141200
676,136200,69800
681,131300,70100
686,1198400,70800
691,359600,189500
696,215200,190200
701,129800,63200
706,117700,62400
711,120500,62300
716,118900,63000
721,118900,63200
726,118000,63900
731,128000,64000
736,119300,64500
741,120600,64800
746,121000,65500
751,122500,65800
756,123700,66500
761,123400,66600
766,124400,67300
771,124600,67600
776,117500,63600
781,136100,63900
786,118200,64300
791,119000,65200
796,119700,65200
801,120500,65500
806,121500,66200
811,122500,66200
816,122400,66700
821,124000,67100
826,124000,67600
831,127500,68100
836,128900,68600
841,130800,68800
846,132200,69600
851,152700,70100
856,450800,224000
861,439600,225200
866,402500,267000
871,435500,347000
876,550500,248200
881,503500,255000
886,502600,287200
891,606000,250700
896,529100,357700
901,466400,230500
906,301800,207600
911,731700,76200
916,443000,168100
921,363400,220600
926,393000,78800
931,232400,77900
936,158900,77500
941,352200,78300
946,164700,78600
951,153500,78100
956,149500,78600
961,150600,78800
966,164200,79800
971,154300,79600
976,158900,80500
981,161700,80900
986,180300,82100
991,173400,81700
996,169300,82100
1001,173200,83100
1006,157500,82800
1011,166500,83200
1016,171900,84300
1021,177700,84100
1026,162900,84400
1031,156500,84800
1036,157100,85900
1041,157000,85400
1046,157300,86300
1051,157700,86200
1056,161500,86800
1061,337800,87400
1066,543200,348800
1071,512100,996100
1076,460700,198600
1081,266900,191500
1086,216000,90700
1091,330700,255000
1096,454900,91800
1101,187800,92500
1106,281000,92800
1111,169200,91700
1116,169300,92000
1121,187300,92000
1126,173600,92800
1131,170600,92900
1136,317400,93500
1141,286300,95700
1146,554000,96500
1151,317500,208200
1156,292700,123500
1161,183600,96100
1166,177900,96000
1171,178200,96600
1176,177500,97000
1181,178300,96800
1186,180300,97700
1191,179700,97900
1196,199900,98600
1201,193400,99200
1206,187200,99600
1211,196400,99700
1216,199100,100400
1221,189400,100700
1226,190100,101100
1231,203000,101600
1236,192600,102100
1241,194800,102000
1246,188600,102800
1251,202800,102800
1256,220300,103900
1261,1422500,220100
1266,780400,326200
1271,664000,380700
1276,625100,319700
1281,843400,310000
1286,862200,423900
1291,1670900,406800
1296,685400,360400
1301,774100,445500
1306,761900,228700
1311,983200,412800
1316,944600,1043700
1321,1091000,320900
1326,839500,409200
1331,2263300,510200
1336,1548000,490700
1341,1579200,331400
1346,923800,358000
1351,1010700,308800
1356,1683600,396100
1361,912400,431500
1366,899500,481300
1371,821200,350900
1376,750000,481900
1381,425100,252700
1386,396200,261600
1391,345600,116000
1396,398000,254100
1401,363000,116800
1406,356100,117000
1411,371700,117200
1416,375700,117500
1421,363600,118400
1426,454600,118300
1431,842500,373600
1436,855400,375900
1441,781300,371000
1446,739000,377800
1451,733500,373100
1456,762700,379800
1461,725900,388000
1466,761300,376000
1471,768900,386000
1476,744100,384400
1481,755800,378100
1486,1843300,389600
1491,740900,380600
1496,746400,392600
1501,747100,394800
1506,700300,374900
1511,740400,391500
1516,701700,393700
1521,726800,387200
1526,723500,401700
1531,706000,391500
1536,536000,491200
1541,399800,130200
1546,333900,128500
1551,405200,219100
1556,345200,130100
1561,373700,129900
1566,330800,130900
1571,367500,129800
1576,359500,138300
1581,374900,131900
1586,341700,131700
1591,354600,131700
1596,398600,132100
1601,368400,133000
1606,501900,197100
1611,418200,134400
1616,364000,134300
1621,359400,134400
1626,322300,136900
1631,357100,297600
1636,381400,135600
1641,343500,135900
1646,345000,136800
1651,340300,137300
1656,342000,137300
1661,453400,303500
1666,364000,138700
1671,358900,138800
1676,623800,138600
1681,510600,304500
1686,360900,140600
1691,332800,140000
1696,325300,146700
1701,298900,140900
1706,301900,152700
1711,295900,141500
1716,334600,142400
1721,451000,297900
1726,316200,143600
1731,314800,143900
1736,335400,143600
1741,459100,301500
1746,461900,145200
1751,324800,146500
1756,362400,146100
1761,321400,146500
1766,345100,146700
1771,318600,146900
1776,300800,147200
1781,298800,147900
1786,288800,148800
1791,286700,148200
1796,275100,160300
1801,275100,144100
1806,284500,144600
1811,267600,140100
1816,284400,141100
1821,262400,136500
1826,263400,137200
1831,306900,137800
1836,573700,135100
1841,969800,621000
1846,673300,397300
1851,485600,145300
1856,671000,216200
1861,603700,155800
1866,569700,156300
1871,574100,332700
1876,590700,329100
1881,1120700,446100
1886,727900,338600
1891,544800,257400
1896,1195500,343200
1901,1103700,601100
1906,1116600,606600
1911,1024300,592200
1916,1147300,574400
1921,1087600,606100
1926,736700,550300
1931,959300,348800
1936,1141100,622700
1941,892300,402600
1946,1172900,504500
1951,652500,369900
1956,595200,397200
1961,665000,352300
1966,626800,354700
1971,606600,360500
1976,574800,362200
1981,851700,515900
1986,943200,663100
1991,589300,237000
1996,522400,214300
2001,558100,361400
2006,535600,363700
2011,556400,363300
2016,609200,377300
2021,894700,470500
2026,842100,415100
2031,562200,368100
2036,485300,170200
2041,453500,169300
2046,594000,170400
2051,625200,411200
2056,601600,370400
2061,496000,171900
2066,466800,171700
2071,446800,171900
2076,438700,173200
2081,444900,172600
2086,438500,173200
2091,438800,173400
2096,441300,174200
2101,458200,174200
2106,442400,175900
2111,434400,175100
2116,467200,175600
2121,754900,212400
2126,612000,180400
2131,588000,347600
2136,528900,377500
2141,531100,178100
2146,1201800,515900
